"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.762341131733404E9,"2025-11-05 13:12:11.733 UTC+02:00"
"PAUSE",1.968388241667708E1,1.762341151416904E9,"2025-11-05 13:12:31.417 UTC+02:00"
